Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario04_min16_mx4_res30_q10_ord2;P3;5.0;0.999154057812587;3.9957702890629356;0.85672697699985;0.2878645959363144;0.8971122034895118
cenario04_min16_mx4_res30_q10_ord2;P3;6.0;0.9745348391698745;4.847209035019247;0.8482223742488162;0.24212521047364977;0.8905912779208727
cenario04_min16_mx4_res30_q10_ord2;P3;7.0;0.9560307196515098;5.692215037560568;0.8429437871963823;0.20839147281410764;0.8855110941465791
cenario04_min16_mx4_res30_q10_ord2;P3;8.0;0.9416370761765015;6.533096609412012;0.8394978752153439;0.18288639231073933;0.8814554348363935
cenario04_min16_mx4_res30_q10_ord2;P3;9.0;0.9301345319990285;7.371210787991256;0.8371429976407998;0.16307619077594282;0.8781487098361347
cenario04_min16_mx4_res30_q10_ord2;P3;10.0;0.9207382604693611;8.207382604693612;0.8361718167023557;0.15433556232994583;0.8754033821882711
cenario05_min16_mx4_res50_q5_ord1;P3;-5.0;1.2066139846066852;-7.033069923033426;1.3814259568893856;0.12594013858649777;0.915307308537212
cenario05_min16_mx4_res50_q5_ord1;P3;-4.5;1.1871904321308295;-6.342356944588733;1.3760443708459125;0.150157275782127;0.9165007306825652
cenario05_min16_mx4_res50_q5_ord1;P3;-4.0;1.1642563880468784;-5.6570255521875135;1.3623495648698265;0.20762729270820746;0.9185431129778134
cenario05_min16_mx4_res50_q5_ord1;P3;-3.5;1.1371449656339734;-4.980007379718907;1.340740108400106;0.287417000318535;0.9218124109551451
cenario05_min16_mx4_res50_q5_ord1;P3;-3.0;1.105428481262469;-4.316285443787407;1.3059704483245937;0.3983740988136262;0.9267754796309304
cenario05_min16_mx4_res50_q5_ord1;P3;-2.5;1.0696147725577252;-3.674036931394313;1.2515862359178112;0.545071341599785;0.9338009400803002
cenario05_min16_mx4_res50_q5_ord1;P3;-2.0;1.0323496039347981;-3.0646992078695963;1.1757809517478899;0.7131373043738165;0.9426296773553896
cenario05_min16_mx4_res50_q5_ord1;P3;-1.5;0.9988373197642821;-2.498255979646423;1.0902769596518986;0.862840540168575;0.9519992038211754
cenario05_min16_mx4_res50_q5_ord1;P3;-1.0;0.9744222482176977;-1.9744222482176976;1.0169208532290317;0.9575013949886659;0.9605725720405954
cenario05_min16_mx4_res50_q5_ord1;P3;-0.5;0.9626702528347825;-1.4813351264173913;0.98215041198788;0.9902599204234512;0.9680644015181453
cenario05_min16_mx4_res50_q5_ord1;P3;0.5;0.9855352446900476;-0.5072323776549762;1.006331867621379;1.0103983114656656;0.9796155581063558
cenario05_min16_mx4_res50_q5_ord1;P3;1.0;1.0039908358704543;0.003990835870454346;0.9968941071354432;0.9929032712649889;0.9794524386618534
cenario05_min16_mx4_res50_q5_ord1;P3;1.5;0.9931078196536447;0.48966172948046705;0.898529479551359;0.8581324898465714;0.9725631281892966
cenario05_min16_mx4_res50_q5_ord1;P3;2.0;0.9512601577109067;0.9025203154218133;0.7698812939508533;0.6372422724798932;0.9632935918795933
cenario05_min16_mx4_res50_q5_ord1;P3;2.5;0.9038172093725281;1.2595430234313203;0.6886411916949353;0.4620599558060179;0.9550862150754946
cenario05_min16_mx4_res50_q5_ord1;P3;3.0;0.8637205023722495;1.5911615071167486;0.6512532304523613;0.3625981842403352;0.948100053350647
cenario05_min16_mx4_res50_q5_ord1;P3;3.5;0.8316560725381947;1.9107962538836816;0.6320582175556977;0.30140750756126033;0.9419769834260635
cenario05_min16_mx4_res50_q5_ord1;P3;4.0;0.8058049311681116;2.2232197246724463;0.6198568872878645;0.2562078244790116;0.9365219600102338
cenario05_min16_mx4_res50_q5_ord1;P3;4.5;0.7845895869270102;2.530653141171546;0.6112795726046079;0.2201049355491893;0.9316319527401732
cenario05_min16_mx4_res50_q5_ord1;P3;5.0;0.7668998594554108;2.834499297277054;0.6076923122110163;0.20396226377802718;0.9272367883017096
cenario06_min16_mx4_res50_q5_ord2;P3;-5.0;1.4408937220003233;-8.204468610001616;1.6352744346855967;0.028096436573632033;0.8559934680421973
cenario06_min16_mx4_res50_q5_ord2;P3;-4.5;1.4192958650352927;-7.386831392658817;1.6296719101920836;0.05330779679444131;0.8565277518001477
cenario06_min16_mx4_res50_q5_ord2;P3;-4.0;1.393699174952383;-6.574796699809532;1.6153805373545511;0.11327455039132772;0.8578796025516275
cenario06_min16_mx4_res50_q5_ord2;P3;-3.5;1.3632716729440761;-5.771450855304266;1.593140675238442;0.19545849196971865;0.8605461386994009
cenario06_min16_mx4_res50_q5_ord2;P3;-3.0;1.32721867485703;-4.98165602457109;1.5582843249689375;0.3068030496642775;0.8652712861791361
cenario06_min16_mx4_res50_q5_ord2;P3;-2.5;1.2852666121341314;-4.213166530335329;1.5034963687570233;0.45442560844277047;0.8730016758066761
cenario06_min16_mx4_res50_q5_ord2;P3;-2.0;1.2390798279070334;-3.478159655814067;1.4204776076838002;0.6372044404464665;0.8842767736012546
cenario06_min16_mx4_res50_q5_ord2;P3;-1.5;1.1951259484343524;-2.7926889226515286;1.315512444062684;0.8194202565575026;0.8972970001880445
cenario06_min16_mx4_res50_q5_ord2;P3;-1.0;1.1626472117513829;-2.162647211751383;1.2199408692853209;0.942706342466062;0.9089767200775317
cenario06_min16_mx4_res50_q5_ord2;P3;-0.5;1.1454961067324152;-1.5727480533662077;1.1713909399092932;0.9870525834115611;0.9199121098070803
cenario06_min16_mx4_res50_q5_ord2;P3;0.5;1.163656265641945;-0.41817186717902755;1.186013128256808;1.0111784313074317;0.9423992037731642
cenario06_min16_mx4_res50_q5_ord2;P3;1.0;1.1826939324667836;0.18269393246678356;1.1838622109472319;1.0011682784804483;0.9479849665627617
